iterations,fitness,time,fevals
0,23.0,0.002606907,786
10,27.0,0.003859206,1481
20,32.0,0.004970061,2183
30,33.0,0.00583618500001,2869
40,35.0,0.00671986100001,3572
50,36.0,0.00754692900001,4263
60,38.0,0.00837504200001,4958
70,37.0,0.00934423000001,5668
80,40.0,0.010183778,6361
90,42.0,0.010982105,7056
100,42.0,0.011789352,7752
110,43.0,0.012629562,8462
120,43.0,0.013437471,9162
130,42.0,0.014621914,9850
140,43.0,0.015474735,10549
150,44.0,0.016330693,11248
160,46.0,0.017327876,11940
170,46.0,0.018157738,12641
180,45.0,0.018968597,13333
190,46.0,0.019783188,14040
200,46.0,0.020632117,14741
210,46.0,0.021778643,15424
220,48.0,0.025128242,16114
230,49.0,0.026263148,16813
240,48.0,0.028143481,17501
250,49.0,0.029709615,18203
260,49.0,0.030582545,18892
270,49.0,0.031269521,19585
280,47.0,0.032174499,20279
290,47.0,0.032893087,20969
300,50.0,0.033764912,21670
310,47.0,0.034476022,22368
320,47.0,0.035630494,23058
330,47.0,0.036393108,23758
340,47.0,0.037125042,24476
350,49.0,0.03787575,25168
360,48.0,0.03862009,25880
370,50.0,0.03937137,26568
380,49.0,0.040320347,27272
390,48.0,0.041101639,27963
400,49.0,0.041833036,28665
410,50.0,0.0425777900001,29355
420,49.0,0.0432891290001,30046
430,50.0,0.0440179850001,30758
440,50.0,0.0446696460001,31464
450,49.0,0.045363064,32152
460,48.0,0.0460992490001,32846
470,48.0,0.0471100120001,33545
480,48.0,0.0480287690001,34240
490,47.0,0.0487246290001,34945
500,49.0,0.0495067460001,35636
510,49.0,0.0501919950001,36324
520,50.0,0.0508710400001,37035
530,48.0,0.051648422,37726
540,47.0,0.052445973,38439
550,48.0,0.053143529,39145
560,49.0,0.053828296,39849
570,49.0,0.054555466,40546
580,48.0,0.055522784,41239
590,48.0,0.056191585,41937
600,49.0,0.056853063,42643
610,50.0,0.057624037,43344
620,50.0,0.058635745,44042
630,50.0,0.059258432,44740
640,51.0,0.059926258,45441
650,49.0,0.060604109,46151
660,49.0,0.061262308,46855
670,49.0,0.061917285,47563
680,49.0,0.062577568,48266
690,49.0,0.063438783,48946
700,49.0,0.064102096,49646
710,49.0,0.0647399420001,50349
720,49.0,0.0654015220001,51054
730,49.0,0.0660680640001,51747
740,50.0,0.0667116550001,52438
750,49.0,0.0673399890001,53137
760,48.0,0.0679860920001,53837
770,49.0,0.0686947350001,54533
780,47.0,0.0696438490001,55225
790,49.0,0.0704110270001,55906
800,48.0,0.0712094260001,56610
810,50.0,0.0718412920001,57294
820,48.0,0.0725207030001,57995
830,50.0,0.0732297410001,58675
840,49.0,0.0738867110001,59372
850,51.0,0.0744996260001,60071
860,49.0,0.0752255120001,60758
870,52.0,0.0759006990001,61468
880,51.0,0.0765841080001,62169
890,52.0,0.0772142390001,62850
900,53.0,0.0778907120001,63550
910,50.0,0.0787890710001,64236
920,52.0,0.0794435760001,64926
930,52.0,0.0800678160001,65618
940,53.0,0.0809562050001,66327
950,53.0,0.0817447200001,67005
960,53.0,0.0823278230001,67698
970,54.0,0.0829728740001,68407
980,52.0,0.0835674540001,69106
990,52.0,0.0841840370001,69806
1000,52.0,0.0848083380001,70515
1010,53.0,0.0855464530001,71215
1020,54.0,0.0864572340001,71910
1030,54.0,0.0870976640001,72611
1040,54.0,0.0877860590001,73317
1050,53.0,0.088691368,74005
1060,54.0,0.089581874,74708
1070,53.0,0.090444939,75412
1080,54.0,0.091403307,76127
1090,55.0,0.092580889,76805
1100,55.0,0.0946788230001,77519
1110,54.0,0.0957660790001,78217
1120,54.0,0.0967584360001,78919
1130,55.0,0.0975650880001,79610
1140,54.0,0.0986058750001,80307
1150,55.0,0.099703993,81010
1160,54.0,0.10040456,81713
1170,57.0,0.10122636,82412
1180,56.0,0.101885077,83124
1190,56.0,0.102814529,83809
1200,55.0,0.104045351,84496
1210,56.0,0.105106099,85195
1220,56.0,0.10666152,85912
1230,55.0,0.107518587,86600
1240,56.0,0.108545507,87300
1250,55.0,0.10957632,87991
1260,56.0,0.110420184,88689
1270,56.0,0.111249275,89397
1280,58.0,0.112137093,90094
1290,58.0,0.112893755,90796
1300,57.0,0.1139383,91496
1310,57.0,0.115238908,92186
1320,56.0,0.116108631,92880
1330,55.0,0.116834913,93571
1340,56.0,0.117563471,94280
1350,56.0,0.118378823,94990
1360,57.0,0.119183746,95695
1370,57.0,0.11997434,96394
1380,57.0,0.121100069,97105
1390,57.0,0.122293767,97797
1400,56.0,0.123061218,98477
1410,56.0,0.123831108,99177
1420,56.0,0.124657362,99876
1430,57.0,0.125836389,100591
1440,58.0,0.126552854,101286
1450,55.0,0.127989139,101996
1460,55.0,0.128814286,102696
1470,57.0,0.129510368,103399
1480,58.0,0.130336604,104088
1490,56.0,0.131326724,104788
1500,57.0,0.131932593,105493
1510,57.0,0.132537141,106185
1520,58.0,0.133156485,106896
1530,57.0,0.133756731,107598
1540,58.0,0.134349048,108288
1550,58.0,0.135114665,108999
1560,58.0,0.136278564,109696
1570,59.0,0.137174116,110390
1580,58.0,0.137964555,111079
1590,58.0,0.138626571,111774
1600,59.0,0.139572464,112478
1610,59.0,0.140267673,113176
1620,58.0,0.140913995,113878
1630,60.0,0.142017254,114570
1640,58.0,0.142857994,115262
1650,57.0,0.143782976,115968
1660,56.0,0.144915071,116665
1670,56.0,0.146547812,117363
1680,57.0,0.161906483,118067
1690,57.0,0.162896155,118763
1700,57.0,0.164011694,119459
1710,57.0,0.166058928,120164
1720,59.0,0.166957836,120872
1730,59.0,0.170564323,121567
1740,59.0,0.173007116,122268
1750,58.0,0.17414782,122974
1760,58.0,0.18043378,123662
1770,58.0,0.183941127,124382
1780,59.0,0.185044355,125083
1790,58.0,0.186710958,125787
1800,60.0,0.192412944,126490
1810,57.0,0.194526832,127197
1820,58.0,0.196179319,127889
1830,57.0,0.1971505,128604
1840,60.0,0.203479842,129315
1850,59.0,0.204351901,130003
1860,59.0,0.205932163,130702
1870,59.0,0.207666916,131390
1880,60.0,0.209302298,132082
1890,59.0,0.210435805,132786
1900,60.0,0.211835181,133478
1910,58.0,0.2130122,134175
1920,60.0,0.213858459,134874
1930,59.0,0.21465668,135579
1940,60.0,0.215323269,136269
1950,60.0,0.216056302,136961
1960,58.0,0.216833875,137662
1970,58.0,0.217501289,138353
1980,60.0,0.218524433,139049
1990,59.0,0.219226584,139743
2000,58.0,0.219891089,140428
2010,58.0,0.22058134,141129
2020,60.0,0.221265211,141823
2030,58.0,0.221950217,142517
2040,58.0,0.22259187,143208
2050,60.0,0.223221614,143909
2060,59.0,0.224025883,144614
2070,58.0,0.225040063,145322
2080,59.0,0.22570978,146020
2090,60.0,0.226581882,146724
2100,60.0,0.227242826,147428
2110,60.0,0.227912333,148124
2120,61.0,0.22857596,148811
2130,61.0,0.229255338,149510
2140,63.0,0.2299638,150212
2150,62.0,0.230637686,150913
2160,63.0,0.231275232,151605
2170,63.0,0.232013907,152286
2180,65.0,0.232781262,152992
2190,67.0,0.233610116,153696
2200,67.0,0.234396116,154404
2210,66.0,0.235046657,155081
2220,66.0,0.236048327,155795
2230,66.0,0.236708016,156488
2240,66.0,0.237344639,157188
2250,66.0,0.237969679,157895
2260,66.0,0.238652461,158590
2270,68.0,0.23928009,159279
2280,65.0,0.239904555,159975
2290,66.0,0.24062252,160688
2300,65.0,0.241211336,161373
2310,66.0,0.241955499,162068
2320,65.0,0.242813179,162760
2330,65.0,0.243598876,163473
2340,65.0,0.24428918,164180
2350,65.0,0.24517101,164874
2360,67.0,0.24612003,165569
2370,68.0,0.247102099,166262
2380,67.0,0.248017672,166943
2390,69.0,0.248999881,167649
2400,66.0,0.252075196,168340
2410,67.0,0.253145488,169041
2420,67.0,0.253773699,169720
2430,66.0,0.254609294,170422
2440,68.0,0.255285857,171124
2450,65.0,0.2559141,171810
2460,70.0,0.256544683,172508
2470,67.0,0.257421459,173220
2480,67.0,0.258271718,173921
2490,70.0,0.259412577,174617
2500,70.0,0.260038923,175306
2510,71.0,0.260762683,176005
2520,69.0,0.261375485,176701
2530,70.0,0.262039268,177398
2540,71.0,0.262686942,178083
2550,71.0,0.263365532,178772
2560,70.0,0.263941758,179466
2570,70.0,0.264813578,180173
2580,72.0,0.265465472,180867
2590,72.0,0.266153452,181551
2600,75.0,0.266772051,182250
2610,68.0,0.267380839,182939
2620,70.0,0.267964346,183628
2630,72.0,0.268570449,184334
2640,75.0,0.269322303,185026
2650,72.0,0.270032264,185719
2660,72.0,0.270940687,186414
2670,74.0,0.271510023,187112
2680,72.0,0.272119931,187799
2690,73.0,0.272795976,188501
2700,72.0,0.273426978,189188
2710,71.0,0.274011787,189891
2720,72.0,0.274650018,190589
2730,70.0,0.27526348,191292
2740,70.0,0.27584698,191998
2750,69.0,0.276440903,192705
2760,70.0,0.277067877,193397
2770,71.0,0.277767607,194097
2780,70.0,0.278806887,194805
2790,70.0,0.279794693,195508
2800,70.0,0.28052779,196201
2810,70.0,0.281843242,196897
2820,70.0,0.282495069,197585
2830,70.0,0.283145814,198284
2840,70.0,0.283778434,198988
2850,70.0,0.284409908,199668
2860,71.0,0.285034713,200365
2870,71.0,0.285658292,201059
2880,73.0,0.28652358,201771
2890,72.0,0.287237674,202487
2900,72.0,0.287846017,203191
2910,72.0,0.288471537,203889
2920,72.0,0.28909627,204598
2930,72.0,0.289774514,205297
2940,71.0,0.290683823,205992
2950,72.0,0.291509367,206688
2960,74.0,0.29221503,207376
2970,73.0,0.29292169,208070
2980,73.0,0.293561125,208777
2990,72.0,0.29449282,209459
3000,71.0,0.29513357,210155
3010,75.0,0.295822222,210849
3020,73.0,0.29643103,211548
3030,73.0,0.297037904,212246
3040,75.0,0.297679212,212949
3050,72.0,0.298284904,213637
3060,73.0,0.298952664,214334
3070,72.0,0.299594162,215040
3080,72.0,0.300194763,215738
3090,74.0,0.300826187,216433
3100,75.0,0.30140125,217136
3110,75.0,0.30219582,217815
3120,74.0,0.302831684,218509
3130,75.0,0.303601452,219210
3140,74.0,0.304155601,219919
3150,75.0,0.304732676,220630
3160,75.0,0.305290656,221320
3170,76.0,0.305911636,222004
3180,76.0,0.306880028,222710
3190,80.0,0.307983789,223416
3200,77.0,0.3093853,224112
3210,77.0,0.313074902,224805
3220,77.0,0.314483462,225507
3230,77.0,0.315740357,226205
3240,76.0,0.318989009,226911
3250,77.0,0.320998036,227616
3260,75.0,0.322356124,228317
3270,75.0,0.325045761,229024
3280,76.0,0.327137553,229725
3290,75.0,0.329857375,230409
3300,74.0,0.332182883,231118
3310,76.0,0.334810816,231809
3320,76.0,0.336010117,232499
3330,76.0,0.338914755,233196
3340,78.0,0.340292569,233890
3350,77.0,0.341008343,234573
3360,74.0,0.341714863,235276
3370,75.0,0.342498364,235972
3380,77.0,0.343202574,236658
3390,79.0,0.344194023,237372
3400,79.0,0.345218482,238069
3410,79.0,0.346353393,238775
3420,79.0,0.348151046,239468
3430,81.0,0.348879805,240180
3440,80.0,0.34950325,240874
3450,78.0,0.350123723,241576
3460,77.0,0.350749627,242281
3470,82.0,0.351456661,242991
3480,81.0,0.352159584,243691
3490,81.0,0.352933274,244393
3500,82.0,0.353601097,245100
3510,81.0,0.354364015,245780
3520,80.0,0.355209472,246461
3530,82.0,0.356271068,247143
3540,82.0,0.356883412,247838
3550,81.0,0.357463192,248519
3560,80.0,0.358021447,249213
3570,82.0,0.358602383,249904
3580,82.0,0.359179228,250590
3590,82.0,0.359789832,251281
3600,82.0,0.360396301,251981
3610,82.0,0.361002507,252676
3620,85.0,0.361606581,253388
3630,84.0,0.362204042,254085
3640,86.0,0.362797415,254791
3650,85.0,0.363489704,255484
3660,85.0,0.364194711,256176
3670,83.0,0.364809215,256883
3680,85.0,0.36542399,257581
3690,84.0,0.36607898,258278
3700,85.0,0.367053351,258970
3710,85.0,0.367765113,259677
3720,85.0,0.368411553,260375
3730,84.0,0.369006124,261079
3740,84.0,0.36960519,261764
3750,84.0,0.370280303,262460
3760,85.0,0.370857124,263155
3770,85.0,0.37146838,263867
3780,85.0,0.37203338,264567
3790,85.0,0.372590194,265274
3800,85.0,0.373134893,265965
3810,85.0,0.373678879,266662
3820,85.0,0.374243429,267357
3830,84.0,0.374798859,268051
3840,84.0,0.375391264,268754
3850,85.0,0.375956516,269463
3860,86.0,0.376508453,270165
3870,85.0,0.377439202,270856
3880,85.0,0.378078709,271549
3890,85.0,0.378818695,272243
3900,86.0,0.379380538,272941
3910,85.0,0.380081866,273633
3920,86.0,0.380638519,274336
3930,86.0,0.381183456,275030
3940,86.0,0.381720685,275726
3950,87.0,0.382263853,276420
3960,85.0,0.382858471,277120
3970,86.0,0.383502817,277819
3980,90.0,0.384060625,278514
3990,86.0,0.384646035,279217
4000,85.0,0.385860346,279918
4010,84.0,0.386513351,280636
4020,84.0,0.387183028,281337
4030,85.0,0.387757813,282045
4040,83.0,0.388299129,282732
4050,83.0,0.389147399,283434
4060,84.0,0.389932221,284137
4070,83.0,0.390488206,284828
4080,83.0,0.391162607,285532
4090,83.0,0.39170234,286241
4100,84.0,0.392244516,286939
4110,84.0,0.392762194,287624
4120,84.0,0.393290783,288322
4130,84.0,0.394105118,289019
4140,84.0,0.394815218,289719
4150,83.0,0.395356131,290409
4160,84.0,0.395903404,291111
4170,85.0,0.396428415,291810
4180,85.0,0.396960415,292516
4190,84.0,0.397514113,293209
4200,86.0,0.39803616,293912
4210,84.0,0.398599074,294607
4220,83.0,0.399162284,295306
4230,84.0,0.399663623,295997
4240,84.0,0.400292437,296701
4250,84.0,0.401032388,297399
4260,85.0,0.401563313,298093
4270,85.0,0.402096131,298796
4280,85.0,0.402744497,299515
4290,85.0,0.403324524,300212
4300,85.0,0.403994527,300916
4310,85.0,0.404575829,301627
4320,85.0,0.405164417,302335
4330,85.0,0.405780431,303026
4340,86.0,0.406439799,303726
4350,84.0,0.40700494,304427
4360,83.0,0.407702197,305126
4370,83.0,0.408234642,305824
4380,86.0,0.408771643,306520
4390,87.0,0.409303715,307228
4400,87.0,0.409843942,307926
4410,87.0,0.410408213,308631
4420,86.0,0.411054359,309335
4430,86.0,0.411686841,310027
4440,86.0,0.412341493,310725
4450,85.0,0.413286432,311428
4460,86.0,0.413941785,312127
4470,87.0,0.414636459,312831
4480,86.0,0.415193333,313521
4490,86.0,0.415698325,314205
4500,86.0,0.416349963,314898
4510,87.0,0.416947781,315583
4520,87.0,0.417500039,316277
4530,86.0,0.418076093,316977
4540,87.0,0.41859865,317675
4550,87.0,0.419270763,318363
4560,87.0,0.419881632,319066
4570,89.0,0.420424876,319762
4580,88.0,0.421014766,320463
4590,88.0,0.42155521,321157
4600,88.0,0.422536348,321867
4610,86.0,0.423250846,322558
4620,86.0,0.42394956,323256
4630,86.0,0.424569586,323956
4640,86.0,0.425091163,324658
4650,87.0,0.425692188,325338
4660,87.0,0.426214164,326031
4670,86.0,0.426797638,326720
4680,87.0,0.427336414,327415
4690,84.0,0.427877052,328119
4700,84.0,0.428515559,328826
4710,86.0,0.429134671,329535
4720,86.0,0.429759614,330250
4730,84.0,0.430327259,330952
