iterations,fitness,time,fevals
0,21.0,0.106896345,1000
10,32.0,0.19429877,2100
20,39.0,0.278492081,3200
30,37.0,0.360573594,4300
40,47.0,0.455326101,5400
50,48.0,0.53677036,6500
60,49.0,0.610012919,7600
70,48.0,0.687065629,8700
80,48.0,0.752575913,9800
90,50.0,0.811827713,10900
100,52.0,0.889834014,12000
110,51.0,0.954006659,13100
120,61.0,1.01840223,14200
130,53.0,1.078859249,15300
140,55.0,1.151328664,16400
150,56.0,1.218413103,17500
160,56.0,1.284097594,18600
170,52.0,1.37071763,19700
180,51.0,1.447996239,20800
190,53.0,1.503312932,21900
200,49.0,1.556957582,23000
210,53.0,1.608440117,24100
220,54.0,1.664912543,25200
230,52.0,1.71718352,26300
240,51.0,1.770047702,27400
250,54.0,1.831892455,28500
260,51.0,1.925232501,29600
270,50.0,1.994222326,30700
280,52.0,2.061258826,31800
290,62.0,2.127855883,32900
300,54.0,2.190075567,34000
310,55.0,2.247450793,35100
320,54.0,2.305269358,36200
330,68.0,2.387381725,37300
340,71.0,2.453260608,38400
350,55.0,2.510006956,39500
360,62.0,2.565783959,40600
370,66.0,2.627817782,41700
380,68.0,2.692495823,42800
390,57.0,2.758360036,43900
400,54.0,2.83985431,45000
410,56.0,2.903437389,46100
420,71.0,2.959936737,47200
430,62.0,3.011197311,48300
440,60.0,3.063423798,49400
450,74.0,3.115121441,50500
460,70.0,3.167815403,51600
470,74.0,3.223738396,52700
480,60.0,3.28477634,53800
490,73.0,3.363440028,54900
500,60.0,3.434532069,56000
510,60.0,3.494594562,57100
520,74.0,3.546581581,58200
530,74.0,3.597956983,59300
540,74.0,3.649081917,60400
550,61.0,3.69998722,61500
560,61.0,3.751590545,62600
570,61.0,3.812439654,63700
580,59.0,3.891820449,64800
590,61.0,3.95717299,65900
600,61.0,4.022632389,67000
610,62.0,4.079315746,68100
620,61.0,4.131636371,69200
630,65.0,4.184652456,70300
640,62.0,4.235689957,71400
650,63.0,4.289495903,72500
660,58.0,4.364158191,73600
670,62.0,4.419321195,74700
680,60.0,4.472353098,75800
690,75.0,4.542928094,76900
700,74.0,4.60059031,78000
710,60.0,4.662849864,79100
720,77.0,4.727785696,80200
730,74.0,4.811108888,81300
740,60.0,4.8872797,82400
750,74.0,4.941667852,83500
760,61.0,4.994559033,84600
770,60.0,5.046893031,85700
780,60.0,5.099608085,86800
790,63.0,5.150832383,87900
800,61.0,5.203500704,89000
810,76.0,5.258057433,90100
820,74.0,5.337161602,91200
830,61.0,5.403091021,92300
840,72.0,5.465324743,93400
850,59.0,5.532324599,94500
860,71.0,5.587914386,95600
870,59.0,5.643488278,96700
880,74.0,5.694690034,97800
890,71.0,5.746270969,98900
900,59.0,5.827314873,100000
910,75.0,5.884422436,101100
920,60.0,5.935876746,102200
930,76.0,5.994382254,103300
940,74.0,6.060631752,104400
950,70.0,6.123662658,105500
960,75.0,6.188672126,106600
970,59.0,6.240902805,107700
980,62.0,6.309266617,108800
990,65.0,6.362783982,109900
1000,60.0,6.416166192,111000
1010,56.0,6.466587247,112100
1020,73.0,6.518746263,113200
1030,74.0,6.571120796,114300
1040,61.0,6.629392213,115400
1050,74.0,6.689871128,116500
1060,61.0,6.759339551,117600
1070,58.0,6.844826022,118700
1080,62.0,6.901244671,119800
1090,75.0,6.953711871,120900
1100,62.0,7.005446636,122000
