iterations,fitness,time,fevals
0,14.0,8.51390000003e-05,11
10,16.0,0.000162317,21
20,16.0,0.000258141000001,31
30,20.0,0.000319640000001,41
40,20.0,0.000383200000001,51
50,20.0,0.000461396000001,61
60,20.0,0.000570481000001,71
70,20.0,0.000639228000001,81
80,20.0,0.000712931000001,91
90,20.0,0.000780876000001,101
100,20.0,0.000863278000001,111
110,20.0,0.001081853,121
120,20.0,0.001151406,131
130,20.0,0.001242476,141
140,20.0,0.001330825,151
150,22.0,0.001394293,161
160,22.0,0.00148389,171
170,22.0,0.00155757,181
180,22.0,0.001742393,191
190,22.0,0.00183584,201
200,22.0,0.001919421,211
210,22.0,0.002009691,221
220,24.0,0.002116103,231
230,24.0,0.002190204,241
240,24.0,0.002270608,251
250,25.0,0.002385813,261
260,25.0,0.002490065,271
270,25.0,0.002557086,281
280,25.0,0.002631378,291
290,26.0,0.002760154,301
300,26.0,0.002862074,311
310,27.0,0.002942264,321
320,29.0,0.003047165,331
330,31.0,0.003115005,341
340,31.0,0.003199604,351
350,31.0,0.003341647,361
360,31.0,0.004213079,371
370,32.0,0.004361082,381
380,32.0,0.004604819,391
390,33.0,0.004837148,401
400,33.0,0.005334686,411
410,33.0,0.005867099,421
420,33.0,0.005994677,431
430,35.0,0.00651422,441
440,35.0,0.006764967,451
450,36.0,0.006927431,461
460,37.0,0.007053425,471
470,37.0,0.007253407,481
480,37.0,0.007483269,491
490,37.0,0.007615076,501
500,37.0,0.007722596,511
510,38.0,0.007822546,521
520,38.0,0.007955372,531
530,38.0,0.008196651,541
540,38.0,0.008362572,551
550,39.0,0.009323605,561
560,39.0,0.009535927,571
570,39.0,0.009734315,581
580,40.0,0.009785345,591
590,40.0,0.00992491,601
600,40.0,0.010008398,611
610,40.0,0.01025146,621
620,40.0,0.01037288,631
630,40.0,0.010557601,641
640,40.0,0.010706557,651
650,40.0,0.01088825,661
660,40.0,0.011123875,671
670,40.0,0.015624706,681
680,40.0,0.015769519,691
690,41.0,0.016036077,701
700,41.0,0.016232795,711
710,41.0,0.016278824,721
720,41.0,0.016312511,731
730,41.0,0.016339081,741
740,41.0,0.016363534,751
750,41.0,0.016411943,761
760,41.0,0.016464209,771
770,41.0,0.016494384,781
780,41.0,0.016526792,791
790,41.0,0.016581623,801
800,41.0,0.016672846,811
810,41.0,0.016852164,821
820,41.0,0.016942743,831
830,41.0,0.017001445,841
840,41.0,0.017029955,851
850,41.0,0.01707407,861
860,41.0,0.017127781,871
870,41.0,0.017151567,881
880,42.0,0.017206618,891
890,42.0,0.017238381,901
900,42.0,0.017262671,911
910,42.0,0.0172879,921
920,42.0,0.017311203,931
930,43.0,0.017362163,941
940,43.0,0.017454315,951
950,43.0,0.017523211,961
960,43.0,0.01756257,971
970,43.0,0.017586698,981
980,43.0,0.017679736,991
990,43.0,0.017716447,1001
1000,43.0,0.017755548,1011
1010,43.0,0.017774748,1021
1020,43.0,0.017793409,1031
1030,43.0,0.017847549,1041
1040,43.0,0.017884887,1051
1050,44.0,0.017910956,1061
1060,44.0,0.017954661,1071
1070,44.0,0.018012635,1081
1080,44.0,0.018063729,1091
1090,44.0,0.018100414,1101
1100,44.0,0.018222892,1111
1110,44.0,0.018247273,1121
1120,44.0,0.018357092,1131
1130,44.0,0.018462102,1141
1140,46.0,0.018501261,1151
1150,46.0,0.018542891,1161
1160,46.0,0.018574416,1171
1170,46.0,0.018611899,1181
1180,46.0,0.018661517,1191
1190,46.0,0.018707332,1201
1200,46.0,0.018724052,1211
1210,46.0,0.018743472,1221
1220,46.0,0.018786074,1231
1230,46.0,0.018818451,1241
1240,46.0,0.018861035,1251
1250,46.0,0.018878301,1261
1260,46.0,0.01889733,1271
1270,46.0,0.018914421,1281
1280,46.0,0.018960192,1291
1290,46.0,0.018976925,1301
1300,46.0,0.019013985,1311
1310,46.0,0.019032357,1321
1320,46.0,0.019062977,1331
1330,46.0,0.019093092,1341
1340,46.0,0.019123423,1351
1350,46.0,0.019140982,1361
1360,46.0,0.019199403,1371
1370,46.0,0.019428513,1381
1380,46.0,0.019509869,1391
1390,46.0,0.019570846,1401
1400,46.0,0.019611139,1411
1410,46.0,0.01963906,1421
1420,46.0,0.01966752,1431
1430,46.0,0.019751118,1441
1440,51.0,0.019776001,1451
1450,51.0,0.01992265,1461
1460,51.0,0.019946283,1471
1470,51.0,0.019965443,1481
1480,51.0,0.019982427,1491
1490,51.0,0.019997727,1501
1500,51.0,0.02001199,1511
1510,51.0,0.020048485,1521
1520,51.0,0.02006839,1531
1530,52.0,0.020087628,1541
1540,52.0,0.020130806,1551
1550,52.0,0.020151443,1561
1560,52.0,0.020173477,1571
1570,52.0,0.020193132,1581
1580,52.0,0.020222164,1591
1590,52.0,0.020247218,1601
1600,52.0,0.020269005,1611
1610,52.0,0.020287229,1621
1620,52.0,0.020403612,1631
1630,52.0,0.020434869,1641
1640,52.0,0.020457689,1651
1650,52.0,0.020478189,1661
1660,52.0,0.020542332,1671
1670,52.0,0.020564912,1681
1680,52.0,0.020588322,1691
1690,52.0,0.020608024,1701
1700,52.0,0.020636231,1711
1710,52.0,0.020691488,1721
1720,52.0,0.020715497,1731
1730,52.0,0.020740123,1741
1740,52.0,0.020761761,1751
1750,52.0,0.020785047,1761
1760,52.0,0.020813198,1771
1770,52.0,0.020832087,1781
1780,52.0,0.020857687,1791
1790,60.0,0.02088295,1801
1800,60.0,0.021599431,1811
1810,61.0,0.021737364,1821
1820,63.0,0.021873729,1831
1830,65.0,0.021971938,1841
1840,65.0,0.022048737,1851
1850,65.0,0.022193714,1861
1860,65.0,0.02232573,1871
1870,65.0,0.02246082,1881
1880,65.0,0.022579077,1891
1890,65.0,0.02274207,1901
1900,65.0,0.022886917,1911
1910,65.0,0.023060728,1921
1920,65.0,0.02420055,1931
1930,65.0,0.024295826,1941
1940,65.0,0.024321941,1951
1950,65.0,0.024428561,1961
1960,65.0,0.024507047,1971
1970,65.0,0.024571751,1981
1980,65.0,0.024611767,1991
1990,65.0,0.024708017,2001
2000,65.0,0.024828822,2011
2010,65.0,0.024866473,2021
2020,65.0,0.024946125,2031
2030,65.0,0.025009339,2041
2040,66.0,0.025061657,2051
2050,67.0,0.025157544,2061
2060,67.0,0.025254316,2071
2070,67.0,0.025367082,2081
2080,67.0,0.025467868,2091
2090,67.0,0.025596081,2101
2100,67.0,0.025633374,2111
2110,67.0,0.025704089,2121
2120,67.0,0.025808102,2131
2130,67.0,0.025843298,2141
2140,67.0,0.025876957,2151
2150,68.0,0.02599697,2161
2160,68.0,0.026039088,2171
2170,69.0,0.026105609,2181
2180,69.0,0.026291613,2191
2190,69.0,0.026365327,2201
2200,69.0,0.026435506,2211
2210,69.0,0.026535943,2221
2220,69.0,0.026593986,2231
2230,69.0,0.026622538,2241
2240,69.0,0.02664279,2251
2250,70.0,0.026694038,2261
2260,70.0,0.026765088,2271
2270,70.0,0.026824725,2281
2280,70.0,0.026887448,2291
2290,71.0,0.02692277,2301
2300,71.0,0.026949532,2311
2310,71.0,0.026973068,2321
2320,71.0,0.026992267,2331
2330,71.0,0.027018373,2341
2340,71.0,0.027042403,2351
2350,71.0,0.027069574,2361
2360,71.0,0.02709143,2371
2370,71.0,0.027108226,2381
2380,71.0,0.027133829,2391
2390,71.0,0.027156497,2401
2400,71.0,0.02717872,2411
2410,71.0,0.027199768,2421
2420,72.0,0.027219227,2431
2430,72.0,0.027239271,2441
2440,72.0,0.027262013,2451
2450,72.0,0.02728246,2461
2460,72.0,0.027333998,2471
2470,72.0,0.027368304,2481
2480,72.0,0.02739308,2491
2490,72.0,0.027414236,2501
2500,72.0,0.027431956,2511
2510,72.0,0.027447691,2521
2520,73.0,0.027462495,2531
2530,73.0,0.027477524,2541
2540,73.0,0.027497788,2551
2550,73.0,0.027516273,2561
2560,73.0,0.027535252,2571
2570,73.0,0.027552204,2581
2580,73.0,0.02757285,2591
2590,73.0,0.027592361,2601
2600,73.0,0.027607954,2611
2610,73.0,0.027623151,2621
2620,73.0,0.027637997,2631
2630,73.0,0.027654226,2641
2640,73.0,0.027669403,2651
2650,73.0,0.027688673,2661
2660,73.0,0.027707324,2671
2670,73.0,0.027743289,2681
2680,73.0,0.027779587,2691
2690,73.0,0.027817613,2701
2700,73.0,0.027852759,2711
2710,73.0,0.027919413,2721
2720,73.0,0.028037867,2731
2730,73.0,0.028055187,2741
2740,73.0,0.028073727,2751
2750,73.0,0.028132702,2761
2760,73.0,0.02815303,2771
2770,73.0,0.028171069,2781
2780,73.0,0.028187784,2791
2790,73.0,0.028201941,2801
2800,73.0,0.028240703,2811
2810,73.0,0.028270661,2821
2820,73.0,0.028295122,2831
2830,73.0,0.028318673,2841
2840,73.0,0.028347363,2851
2850,73.0,0.028365717,2861
2860,73.0,0.028384741,2871
2870,73.0,0.028404802,2881
2880,73.0,0.028430442,2891
2890,73.0,0.02845642,2901
2900,73.0,0.028495639,2911
2910,73.0,0.028519336,2921
2920,73.0,0.028537377,2931
2930,73.0,0.028710808,2941
2940,73.0,0.028733075,2951
2950,73.0,0.028797185,2961
2960,73.0,0.028816591,2971
2970,73.0,0.028834845,2981
2980,73.0,0.028853173,2991
2990,73.0,0.028869072,3001
3000,73.0,0.028884383,3011
3010,73.0,0.028899567,3021
3020,73.0,0.028916371,3031
3030,73.0,0.028936536,3041
3040,73.0,0.028955322,3051
3050,73.0,0.029004437,3061
3060,73.0,0.029057795,3071
3070,73.0,0.029072493,3081
3080,73.0,0.029100873,3091
3090,73.0,0.029113673,3101
3100,74.0,0.029135841,3111
3110,74.0,0.029152636,3121
3120,74.0,0.029167005,3131
3130,74.0,0.029181611,3141
3140,76.0,0.0291961,3151
3150,76.0,0.029252952,3161
3160,76.0,0.02927325,3171
3170,76.0,0.029316317,3181
3180,76.0,0.029333979,3191
3190,76.0,0.029345945,3201
3200,76.0,0.029356526,3211
3210,76.0,0.029370141,3221
3220,76.0,0.029378818,3231
3230,76.0,0.029392107,3241
3240,76.0,0.029402439,3251
3250,76.0,0.029415322,3261
3260,76.0,0.029450953,3271
3270,76.0,0.029463433,3281
3280,76.0,0.029478845,3291
3290,76.0,0.029492874,3301
