iterations,fitness,time,fevals
0,11.0,0.000134828999999,11
10,13.0,0.000202279999999,21
20,15.0,0.000225117999999,31
30,14.0,0.000240343999999,41
40,14.0,0.000252849999999,51
50,14.0,0.000266635999999,61
60,14.0,0.000281655999999,71
70,15.0,0.000295704999999,81
80,12.0,0.000312097999999,91
90,14.0,0.000326609,101
100,15.0,0.000341095,111
110,14.0,0.000356105000001,121
120,12.0,0.000372404000001,131
130,13.0,0.000387393000001,141
140,13.0,0.000402575000001,151
150,11.0,0.000416320000001,161
160,13.0,0.000427328000001,171
170,12.0,0.000466687,181
180,12.0,0.000484275000001,191
190,13.0,0.000500948000001,201
200,11.0,0.000532106000001,211
210,11.0,0.000563540000001,221
220,10.0,0.000578639,231
230,13.0,0.000596018,241
240,18.0,0.000724355,251
250,11.0,0.000742953,261
260,15.0,0.000761317999999,271
270,13.0,0.000796708999999,281
280,12.0,0.000812638999999,291
290,12.0,0.000830107,301
300,16.0,0.000865526999999,311
310,14.0,0.000877940999999,321
320,18.0,0.000892082999999,331
330,13.0,0.00120885,341
340,13.0,0.001386561,351
350,14.0,0.001436099,361
360,12.0,0.001450645,371
370,12.0,0.001460166,381
380,12.0,0.001472851,391
390,13.0,0.001484476,401
400,12.0,0.001497204,411
410,20.0,0.00150575,421
420,15.0,0.001522419,431
430,14.0,0.001539268,441
440,13.0,0.001552275,451
450,14.0,0.00156508,461
460,16.0,0.001575818,471
470,17.0,0.001593736,481
480,17.0,0.001606529,491
490,17.0,0.001619708,501
500,17.0,0.001638231,511
510,17.0,0.001651668,521
520,17.0,0.001667707,531
530,17.0,0.001681361,541
540,17.0,0.001704205,551
550,17.0,0.001770219,561
560,17.0,0.001786219,571
570,17.0,0.001805295,581
580,17.0,0.001821686,591
590,17.0,0.001835135,601
600,18.0,0.001851758,611
610,18.0,0.001864215,621
620,18.0,0.001875975,631
630,18.0,0.001889996,641
640,18.0,0.001903862,651
650,18.0,0.001916531,661
660,18.0,0.001929879,671
670,18.0,0.001941711,681
680,18.0,0.001955835,691
690,20.0,0.001972127,701
700,20.0,0.001987424,711
710,20.0,0.002003248,721
720,20.0,0.002014744,731
730,20.0,0.002028507,741
740,20.0,0.002041923,751
750,20.0,0.002055342,761
760,20.0,0.002066502,771
770,20.0,0.002078522,781
780,20.0,0.002091256,791
790,21.0,0.002103385,801
800,21.0,0.002116468,811
810,21.0,0.002151659,821
820,21.0,0.002174377,831
830,22.0,0.002189043,841
840,22.0,0.002202414,851
850,22.0,0.002217014,861
860,22.0,0.002235315,871
870,22.0,0.002250408,881
880,22.0,0.002265,891
890,22.0,0.002279625,901
900,22.0,0.002293433,911
