iterations,fitness,time,fevals
0,121.0,0.000752931000001,801
10,122.0,0.001546169,1504
20,122.0,0.002707646,2198
30,121.0,0.003505247,2894
40,124.0,0.004210547,3590
50,121.0,0.005061873,4284
60,121.0,0.00575297,4972
70,122.0,0.006513264,5682
80,121.0,0.007085007,6382
90,121.0,0.007633832,7087
100,122.0,0.008189024,7786
110,122.0,0.008756048,8483
120,128.0,0.009454061,9183
130,128.0,0.0111172,9882
140,124.0,0.01214338,10580
150,124.0,0.012789668,11286
160,123.0,0.013414725,11985
170,122.0,0.014034132,12696
180,122.0,0.014653644,13396
190,123.0,0.01536284,14107
200,125.0,0.016252534,14796
210,125.0,0.016990976,15502
220,127.0,0.017882482,16203
230,125.0,0.01877919,16896
240,123.0,0.020017504,17585
250,123.0,0.020647396,18278
260,123.0,0.021254787,18970
270,123.0,0.021925012,19667
280,122.0,0.02258234,20355
290,123.0,0.023265906,21059
300,122.0,0.02427805,21756
310,124.0,0.025110728,22441
320,122.0,0.026267139,23150
330,122.0,0.027164575,23849
340,122.0,0.027979863,24542
350,123.0,0.028789616,25235
360,122.0,0.02954383,25923
370,122.0,0.030213092,26613
380,125.0,0.030861272,27306
390,124.0,0.031528459,27979
400,123.0,0.032178128,28670
410,123.0,0.032835471,29374
420,123.0,0.033531768,30078
430,123.0,0.034255786,30770
440,123.0,0.035342707,31479
450,122.0,0.036190561,32175
460,121.0,0.038769665,32887
470,121.0,0.039661196,33585
480,123.0,0.040334736,34279
490,122.0,0.041036312,34971
500,121.0,0.041702433,35660
510,122.0,0.042368154,36359
520,123.0,0.043005192,37041
530,123.0,0.0438009,37728
540,120.0,0.044675382,38417
550,122.0,0.0456454,39110
560,123.0,0.046325806,39810
570,122.0,0.046996024,40512
580,123.0,0.047700589,41210
590,121.0,0.048349291,41903
600,122.0,0.048991318,42611
610,122.0,0.049709793,43312
620,122.0,0.050333465,44009
630,124.0,0.050963373,44697
640,122.0,0.051599317,45397
650,124.0,0.05223933,46083
660,122.0,0.053079794,46785
670,122.0,0.053888691,47496
680,122.0,0.054555224,48203
690,123.0,0.055223592,48888
700,124.0,0.055800295,49569
710,127.0,0.056357029,50262
720,127.0,0.056905596,50965
730,125.0,0.057496957,51664
740,129.0,0.058068704,52350
750,130.0,0.058658352,53047
760,129.0,0.059245829,53748
770,128.0,0.059825203,54443
780,130.0,0.06039537,55140
790,128.0,0.06130164,55833
800,127.0,0.062237836,56520
810,130.0,0.062886777,57229
820,128.0,0.063466118,57912
830,132.0,0.064018749,58606
840,128.0,0.064672872,59306
850,128.0,0.065252646,60013
860,130.0,0.065815482,60714
870,130.0,0.066377965,61409
880,132.0,0.066933133,62084
890,130.0,0.067565409,62765
900,129.0,0.068170227,63466
910,130.0,0.068757,64174
920,130.0,0.06962255,64864
930,131.0,0.070405987,65559
940,129.0,0.071124308,66273
950,131.0,0.071770729,66965
960,128.0,0.07237676,67666
970,128.0,0.072963449,68358
980,129.0,0.073534328,69037
990,131.0,0.074172003,69739
1000,130.0,0.074752002,70436
1010,128.0,0.075351405,71133
1020,129.0,0.075932914,71823
1030,129.0,0.076889026,72513
1040,129.0,0.077557901,73198
1050,132.0,0.078127781,73886
1060,130.0,0.078923192,74580
1070,131.0,0.080145896,75253
1080,132.0,0.080807225,75946
1090,128.0,0.081437284,76639
1100,131.0,0.082056811,77350
1110,129.0,0.082659924,78044
1120,130.0,0.083249233,78755
1130,130.0,0.083869527,79466
1140,129.0,0.084477686,80183
1150,129.0,0.085083558,80882
1160,129.0,0.085670279,81588
1170,129.0,0.086237527,82272
1180,129.0,0.086843027,82969
1190,128.0,0.087416698,83666
1200,131.0,0.088074114,84363
1210,130.0,0.08893433,85055
1220,130.0,0.089580838,85743
1230,130.0,0.090251243,86446
1240,129.0,0.090848353,87160
1250,130.0,0.091395233,87860
1260,130.0,0.091948283,88544
1270,129.0,0.092506558,89234
1280,129.0,0.093083216,89925
1290,130.0,0.093652958,90616
1300,129.0,0.094213479,91302
1310,130.0,0.094799576,91988
1320,128.0,0.095408012,92689
1330,129.0,0.095998874,93372
1340,129.0,0.096917948,94075
1350,128.0,0.097729365,94782
1360,130.0,0.098339265,95475
1370,128.0,0.098973325,96152
1380,127.0,0.099624966,96840
1390,127.0,0.10027283,97531
1400,128.0,0.100920992,98216
1410,129.0,0.101578862,98918
1420,127.0,0.102220688,99611
1430,129.0,0.102950264,100308
1440,132.0,0.10372094,100995
1450,129.0,0.104358496,101690
1460,129.0,0.105129439,102380
1470,130.0,0.105849932,103072
1480,130.0,0.107164105,103778
1490,130.0,0.108158984,104478
1500,130.0,0.109166853,105178
1510,130.0,0.10982661,105876
1520,132.0,0.110554685,106573
1530,132.0,0.111451412,107280
1540,135.0,0.112190585,107983
1550,131.0,0.112845441,108684
1560,131.0,0.113464125,109380
1570,131.0,0.114448065,110075
1580,129.0,0.115531451,110785
1590,131.0,0.116245216,111472
1600,129.0,0.116996442,112165
1610,128.0,0.117874863,112845
1620,131.0,0.11904858,113533
1630,139.0,0.119727385,114245
1640,132.0,0.120610873,114955
1650,134.0,0.121281427,115663
1660,127.0,0.12278074,116358
1670,130.0,0.123837763,117045
1680,129.0,0.124760594,117753
1690,132.0,0.125544324,118461
1700,131.0,0.126483619,119138
1710,132.0,0.127804564,119842
1720,133.0,0.128770445,120539
1730,137.0,0.129702744,121220
1740,140.0,0.130516598,121935
1750,141.0,0.132357199,122631
1760,140.0,0.133470624,123326
1770,140.0,0.134169645,124041
1780,141.0,0.134941402,124740
1790,141.0,0.135880085,125452
1800,139.0,0.136615079,126155
1810,139.0,0.137309712,126843
1820,139.0,0.13808401,127542
1830,138.0,0.13921654,128246
1840,137.0,0.140960486,128930
1850,137.0,0.141943325,129635
1860,138.0,0.142821063,130339
1870,138.0,0.143936552,131052
1880,133.0,0.144921303,131761
1890,134.0,0.145789003,132472
1900,133.0,0.14670855,133161
1910,130.0,0.148091626,133854
1920,130.0,0.149149984,134559
1930,135.0,0.15004317,135254
1940,128.0,0.150897269,135956
1950,128.0,0.151672296,136671
1960,127.0,0.152758314,137376
1970,127.0,0.153621846,138085
1980,128.0,0.154313247,138781
1990,129.0,0.155020353,139483
2000,129.0,0.155710623,140176
2010,129.0,0.157140072,140859
2020,129.0,0.15822225,141554
2030,131.0,0.159008894,142250
2040,132.0,0.159700953,142952
2050,131.0,0.160366043,143649
2060,130.0,0.161083523,144351
2070,130.0,0.161828446,145034
2080,132.0,0.162634473,145720
2090,131.0,0.163414428,146438
2100,134.0,0.16417349,147135
2110,133.0,0.165165011,147846
2120,131.0,0.16665899,148545
2130,133.0,0.167857592,149239
2140,133.0,0.168607651,149944
2150,134.0,0.169351526,150640
2160,135.0,0.170157134,151339
2170,132.0,0.171012921,152039
2180,133.0,0.171888548,152740
2190,133.0,0.173217961,153432
2200,133.0,0.174724693,154129
2210,133.0,0.177089438,154832
2220,133.0,0.17869681,155544
2230,131.0,0.180285539,156240
2240,132.0,0.181688323,156942
2250,133.0,0.183351385,157641
2260,133.0,0.185111538,158342
2270,133.0,0.18738977,159049
2280,134.0,0.189154859,159750
2290,134.0,0.190616296,160446
2300,134.0,0.19199118,161149
2310,134.0,0.193593359,161839
2320,133.0,0.195066032,162536
2330,135.0,0.196613832,163234
