iterations,fitness,time,fevals
0,13.0,2.6294e-05,11
10,13.0,4.563e-05,21
20,13.0,5.8561e-05,31
30,13.0,6.8987e-05,41
40,13.0,7.7891e-05,51
50,16.0,9.1949e-05,61
60,16.0,0.000108835,71
70,16.0,0.000125451,81
80,16.0,0.000142383,91
90,16.0,0.000159197,101
100,16.0,0.000168116,111
110,16.0,0.000179111,121
120,16.0,0.000188882,131
130,16.0,0.000202796,141
140,16.0,0.000214522,151
150,16.0,0.000224776,161
160,16.0,0.000234703,171
170,16.0,0.000244302,181
180,16.0,0.000253689,191
190,16.0,0.000263436,201
200,16.0,0.000273302,211
210,16.0,0.000282973,221
220,16.0,0.000294308,231
230,16.0,0.000306895,241
240,16.0,0.000321921,251
250,16.0,0.000342114,261
260,16.0,0.000361105,271
270,16.0,0.000380046,281
280,16.0,0.000414148,291
290,16.0,0.000432826,301
300,19.0,0.000455202,311
310,19.0,0.000499327,321
320,19.0,0.00052157,331
330,19.0,0.000538805,341
340,19.0,0.000552199,351
350,19.0,0.000562685,361
360,19.0,0.000573669,371
370,19.0,0.000591288,381
380,20.0,0.000611113,391
390,20.0,0.000627724,401
400,21.0,0.000648698,411
410,21.0,0.000660788,421
420,21.0,0.000670978,431
430,21.0,0.000682031,441
440,21.0,0.000692038,451
450,21.0,0.000711586,461
460,21.0,0.00073209,471
470,21.0,0.00075039,481
480,21.0,0.000775884,491
490,21.0,0.000793865,501
500,21.0,0.000839497,511
510,21.0,0.000866614,521
520,21.0,0.000991898,531
530,21.0,0.001019928,541
540,21.0,0.001046247,551
550,21.0,0.00106552,561
560,25.0,0.001080502,571
570,25.0,0.001093304,581
580,25.0,0.001108565,591
590,26.0,0.001129419,601
600,27.0,0.001143155,611
610,27.0,0.001163324,621
620,27.0,0.001178305,631
630,27.0,0.00119172,641
640,28.0,0.001231236,651
650,28.0,0.001263756,661
660,29.0,0.001274923,671
670,29.0,0.001285864,681
680,29.0,0.001295665,691
690,29.0,0.001304615,701
700,29.0,0.001312886,711
710,29.0,0.001327478,721
720,29.0,0.001337209,731
730,29.0,0.001351895,741
740,29.0,0.0013645,751
750,29.0,0.001378183,761
760,30.0,0.001393068,771
770,31.0,0.001409268,781
780,31.0,0.001424887,791
790,31.0,0.001444239,801
800,31.0,0.001466248,811
810,32.0,0.001490184,821
820,32.0,0.001516626,831
830,32.0,0.00153892,841
840,32.0,0.001555327,851
850,32.0,0.001575366,861
860,32.0,0.001587623,871
870,32.0,0.001599604,881
880,32.0,0.001616217,891
890,32.0,0.001627732,901
900,32.0,0.001638948,911
910,32.0,0.001648903,921
920,32.0,0.001662295,931
930,32.0,0.001677965,941
940,32.0,0.0016997,951
950,32.0,0.001714588,961
960,32.0,0.001747494,971
970,32.0,0.001937296,981
980,32.0,0.001949653,991
990,32.0,0.001970291,1001
1000,32.0,0.001987373,1011
1010,32.0,0.002018195,1021
1020,32.0,0.002035438,1031
1030,32.0,0.002050918,1041
1040,32.0,0.002069326,1051
1050,32.0,0.002101272,1061
1060,32.0,0.002122586,1071
1070,32.0,0.002137566,1081
1080,32.0,0.002156797,1091
1090,32.0,0.002177712,1101
1100,32.0,0.002195663,1111
1110,32.0,0.002215805,1121
1120,32.0,0.002239321,1131
1130,32.0,0.002272679,1141
1140,32.0,0.002289624,1151
1150,32.0,0.002305918,1161
1160,32.0,0.002319452,1171
1170,33.0,0.002336338,1181
1180,33.0,0.002351888,1191
1190,33.0,0.002371233,1201
1200,33.0,0.002392813,1211
1210,34.0,0.002426536,1221
1220,35.0,0.002441869,1231
1230,35.0,0.002460334,1241
1240,35.0,0.002491617,1251
1250,35.0,0.002506943,1261
1260,35.0,0.002523864,1271
1270,35.0,0.002541936,1281
1280,35.0,0.002555159,1291
1290,35.0,0.002570325,1301
1300,35.0,0.002586071,1311
1310,35.0,0.002599241,1321
1320,35.0,0.002612076,1331
1330,35.0,0.002623653,1341
1340,35.0,0.002648822,1351
1350,35.0,0.002663249,1361
1360,35.0,0.002682813,1371
1370,35.0,0.002703317,1381
1380,35.0,0.002761176,1391
1390,35.0,0.002840915,1401
1400,35.0,0.002869198,1411
1410,35.0,0.002890892,1421
1420,35.0,0.002905077,1431
1430,35.0,0.002915895,1441
1440,35.0,0.002928984,1451
1450,35.0,0.002939577,1461
1460,35.0,0.002953627,1471
1470,35.0,0.002976317,1481
1480,35.0,0.003004859,1491
1490,35.0,0.003065597,1501
1500,35.0,0.003096203,1511
1510,35.0,0.003122195,1521
1520,35.0,0.0031416,1531
1530,35.0,0.003153301,1541
1540,35.0,0.00316505,1551
1550,35.0,0.003183796,1561
1560,35.0,0.003219903,1571
1570,35.0,0.003240886,1581
1580,35.0,0.003258222,1591
1590,35.0,0.003299605,1601
1600,35.0,0.003344895,1611
1610,35.0,0.003468356,1621
1620,35.0,0.003534661,1631
1630,35.0,0.003566508,1641
1640,35.0,0.003596577,1651
1650,35.0,0.00362024,1661
1660,35.0,0.003641074,1671
1670,35.0,0.003666737,1681
1680,35.0,0.003734138,1691
1690,35.0,0.003765972,1701
1700,36.0,0.00384639,1711
1710,36.0,0.00389915,1721
1720,36.0,0.003941959,1731
1730,36.0,0.003963366,1741
1740,37.0,0.00397986,1751
1750,37.0,0.004001333,1761
1760,37.0,0.004018037,1771
1770,37.0,0.004152063,1781
1780,37.0,0.004175011,1791
1790,37.0,0.004205714,1801
1800,37.0,0.004224432,1811
1810,37.0,0.004244797,1821
1820,37.0,0.004257831,1831
1830,38.0,0.004267591,1841
1840,44.0,0.004278884,1851
1850,45.0,0.004289438,1861
1860,45.0,0.004298598,1871
1870,46.0,0.004315886,1881
1880,46.0,0.004325848,1891
1890,46.0,0.004336851,1901
1900,46.0,0.004345882,1911
1910,46.0,0.004355548,1921
1920,46.0,0.004365941,1931
1930,46.0,0.004375248,1941
1940,46.0,0.004384074,1951
1950,46.0,0.004394365,1961
1960,46.0,0.004404876,1971
