iterations,fitness,time,fevals
0,18.0,1.63900000003e-05,11
10,18.0,2.94700000003e-05,21
20,16.0,4.12940000003e-05,31
30,16.0,5.51700000004e-05,41
40,15.0,7.10600000002e-05,51
50,16.0,8.34020000005e-05,61
60,14.0,0.000124514,71
70,17.0,0.000138546000001,81
80,18.0,0.000151774000001,91
90,18.0,0.000163764000001,101
100,18.0,0.000175532000001,111
110,18.0,0.000187464000001,121
120,19.0,0.000200425000001,131
130,19.0,0.000211307000001,141
140,21.0,0.000225080000001,151
150,21.0,0.000237625000001,161
160,21.0,0.000250528000001,171
170,23.0,0.000264336000002,181
180,23.0,0.000275336000001,191
190,24.0,0.000286475000002,201
200,24.0,0.000298926000001,211
210,24.0,0.000309857000001,221
220,24.0,0.000322592000001,231
230,24.0,0.000334686000001,241
240,24.0,0.000345143000001,251
250,24.0,0.000356877000001,261
260,26.0,0.000369419000001,271
270,27.0,0.000381436000001,281
280,27.0,0.000396347000001,291
290,27.0,0.000409406000001,301
300,27.0,0.000421527000002,311
310,27.0,0.000434310000002,321
320,27.0,0.000448355000002,331
330,27.0,0.000461721000002,341
340,28.0,0.000473884000002,351
350,28.0,0.000485877000002,361
360,28.0,0.000494851000002,371
370,28.0,0.000504018000002,381
380,28.0,0.000515987000002,391
390,29.0,0.000532085000002,401
400,29.0,0.000544015000003,411
410,30.0,0.000571820000002,421
420,31.0,0.000600127000002,431
430,32.0,0.000635251000002,441
440,32.0,0.000654534000002,451
450,32.0,0.000669586000002,461
460,32.0,0.000688458000002,471
470,32.0,0.000703987000002,481
480,32.0,0.000720191000002,491
490,32.0,0.000740080000002,501
500,32.0,0.000757242000001,511
510,32.0,0.000773625000002,521
520,32.0,0.000786487000002,531
530,32.0,0.000801005000002,541
540,32.0,0.000813555000002,551
550,32.0,0.000829299000002,561
560,32.0,0.000846119000002,571
570,32.0,0.000860748000001,581
580,32.0,0.000874680000001,591
590,32.0,0.000885646000001,601
600,32.0,0.000898497000001,611
610,32.0,0.000938422000001,621
620,32.0,0.000953251000001,631
630,32.0,0.000973534000001,641
640,32.0,0.001019167,651
650,32.0,0.001037689,661
660,32.0,0.00105903,671
670,32.0,0.001069007,681
680,33.0,0.001078925,691
690,33.0,0.001088784,701
700,33.0,0.001100531,711
710,36.0,0.001109673,721
720,36.0,0.001127098,731
730,36.0,0.001140478,741
740,37.0,0.001156642,751
750,39.0,0.001173988,761
760,42.0,0.00118743,771
770,42.0,0.001201948,781
780,42.0,0.001214647,791
790,43.0,0.001230787,801
800,43.0,0.001247986,811
810,45.0,0.001262127,821
820,45.0,0.001279528,831
830,45.0,0.001320616,841
840,45.0,0.001388965,851
850,45.0,0.001411847,861
860,47.0,0.001425222,871
870,47.0,0.001438887,881
880,47.0,0.001467449,891
890,47.0,0.00148547,901
900,48.0,0.001500091,911
910,48.0,0.001514981,921
920,49.0,0.001529461,931
930,49.0,0.001540849,941
940,49.0,0.001553135,951
950,49.0,0.001562626,961
960,49.0,0.001575346,971
970,49.0,0.001589744,981
980,49.0,0.001603012,991
990,49.0,0.001612799,1001
1000,49.0,0.001623195,1011
