iterations,fitness,time,fevals
0,27.0,0.086037791,1000
10,27.0,0.161135236,2100
20,30.0,0.225214413,3200
30,33.0,0.283121758,4300
40,33.0,0.339579369,5400
50,33.0,0.390485627,6500
60,32.0,0.445386134,7600
70,33.0,0.498263048,8700
80,37.0,0.553514912,9800
90,34.0,0.604852071,10900
100,34.0,0.658351697,12000
110,34.0,0.713804888,13100
120,33.0,0.76552616,14200
130,33.0,0.815876245,15300
140,35.0,0.867720289,16400
150,34.0,0.920650628,17500
160,35.0,0.971566543,18600
170,38.0,1.021555743,19700
180,33.0,1.074840413,20800
190,34.0,1.127773911,21900
200,38.0,1.181347684,23000
210,39.0,1.234853749,24100
220,40.0,1.289596594,25200
230,41.0,1.345686754,26300
240,40.0,1.398403698,27400
250,41.0,1.452371027,28500
260,40.0,1.506105699,29600
270,41.0,1.559741578,30700
280,40.0,1.623432538,31800
290,42.0,1.675825371,32900
300,45.0,1.726228697,34000
310,42.0,1.778391541,35100
320,41.0,1.830916959,36200
330,42.0,1.882139864,37300
340,40.0,1.935849746,38400
350,39.0,2.000529273,39500
360,42.0,2.056093314,40600
370,42.0,2.105722211,41700
380,42.0,2.158279754,42800
390,40.0,2.212126781,43900
400,43.0,2.263883616,45000
410,46.0,2.316597935,46100
420,42.0,2.368256176,47200
430,43.0,2.423771761,48300
440,43.0,2.475206876,49400
450,41.0,2.523900118,50500
460,41.0,2.574481181,51600
470,42.0,2.626967001,52700
480,43.0,2.680259318,53800
490,42.0,2.731578568,54900
500,43.0,2.786083405,56000
510,41.0,2.841340622,57100
520,43.0,2.893234821,58200
530,50.0,2.949400822,59300
540,46.0,2.99906309,60400
550,45.0,3.053060315,61500
560,44.0,3.103813726,62600
570,50.0,3.154470915,63700
580,43.0,3.204319923,64800
590,44.0,3.25643182,65900
600,44.0,3.308326753,67000
610,41.0,3.358816003,68100
620,41.0,3.409806941,69200
630,43.0,3.463883319,70300
640,44.0,3.516534726,71400
650,43.0,3.566096922,72500
660,44.0,3.615582917,73600
670,46.0,3.670830259,74700
680,41.0,3.723391744,75800
690,42.0,3.772952471,76900
700,43.0,3.824709473,78000
710,42.0,3.878017276,79100
720,42.0,3.931932731,80200
730,43.0,3.985469193,81300
740,43.0,4.036399706,82400
750,43.0,4.088509172,83500
760,43.0,4.140540036,84600
770,43.0,4.191708966,85700
780,43.0,4.240234955,86800
790,43.0,4.292223611,87900
800,43.0,4.343363785,89000
810,43.0,4.393427813,90100
820,42.0,4.442594996,91200
830,43.0,4.496543276,92300
840,44.0,4.5492186,93400
850,47.0,4.598924417,94500
860,42.0,4.649222598,95600
870,43.0,4.701829955,96700
880,43.0,4.75367899,97800
890,42.0,4.807715241,98900
900,43.0,4.857567048,100000
910,43.0,4.906990794,101100
920,43.0,4.959658293,102200
930,43.0,5.009790736,103300
940,52.0,5.060657998,104400
950,56.0,5.11146508,105500
960,43.0,5.166025356,106600
970,42.0,5.217305394,107700
980,43.0,5.267367204,108800
990,43.0,5.317814694,109900
1000,43.0,5.370850538,111000
1010,43.0,5.421724114,112100
1020,42.0,5.470741879,113200
1030,42.0,5.519107983,114300
1040,43.0,5.571369112,115400
1050,43.0,5.62195023,116500
1060,43.0,5.671668728,117600
1070,43.0,5.726875107,118700
1080,43.0,5.779335138,119800
1090,43.0,5.830265663,120900
1100,44.0,5.883518201,122000
1110,43.0,5.933472653,123100
1120,47.0,5.985939319,124200
1130,47.0,6.038840189,125300
1140,51.0,6.087331523,126400
1150,56.0,6.139678515,127500
1160,56.0,6.193871577,128600
1170,57.0,6.245711552,129700
1180,56.0,6.298261571,130800
1190,56.0,6.350709891,131900
1200,56.0,6.403788207,133000
1210,56.0,6.4556219,134100
1220,56.0,6.505824898,135200
1230,56.0,6.556939177,136300
1240,55.0,6.607092549,137400
1250,55.0,6.65632376,138500
1260,55.0,6.702764329,139600
1270,55.0,6.749928503,140700
1280,56.0,6.798678159,141800
1290,55.0,6.848855475,142900
1300,56.0,6.896042041,144000
1310,55.0,6.944675254,145100
1320,55.0,6.99548869,146200
1330,56.0,7.045796448,147300
1340,55.0,7.0966899,148400
1350,55.0,7.145422267,149500
1360,55.0,7.192038041,150600
1370,55.0,7.240923704,151700
1380,56.0,7.290861161,152800
1390,56.0,7.342370603,153900
1400,56.0,7.391159957,155000
1410,55.0,7.439173379,156100
1420,55.0,7.485589869,157200
1430,56.0,7.535851961,158300
1440,56.0,7.587213736,159400
1450,56.0,7.635862664,160500
1460,57.0,7.685512206,161600
1470,57.0,7.736614289,162700
1480,57.0,7.788807368,163800
1490,57.0,7.841436084,164900
1500,56.0,7.890323188,166000
1510,56.0,7.936528719,167100
1520,56.0,7.983387011,168200
1530,55.0,8.036128245,169300
1540,56.0,8.085959894,170400
1550,55.0,8.133853923,171500
1560,55.0,8.18130389,172600
1570,56.0,8.229548431,173700
1580,55.0,8.278726295,174800
1590,56.0,8.33024344,175900
1600,56.0,8.378478856,177000
1610,56.0,8.426719594,178100
1620,56.0,8.476724601,179200
1630,54.0,8.526465085,180300
1640,56.0,8.575440958,181400
1650,54.0,8.623801137,182500
1660,56.0,8.678428131,183600
1670,55.0,8.727924991,184700
1680,56.0,8.77454101,185800
1690,55.0,8.825227942,186900
1700,55.0,8.87229819,188000
1710,55.0,8.923801527,189100
1720,55.0,8.972509767,190200
1730,56.0,9.020100699,191300
1740,55.0,9.069738279,192400
1750,55.0,9.116288622,193500
1760,56.0,9.164727659,194600
1770,56.0,9.214737233,195700
1780,56.0,9.263283795,196800
1790,57.0,9.315461903,197900
1800,56.0,9.364103529,199000
1810,56.0,9.414415702,200100
1820,56.0,9.465590176,201200
1830,56.0,9.512254569,202300
1840,56.0,9.560416358,203400
1850,56.0,9.610578446,204500
1860,55.0,9.659442081,205600
1870,56.0,9.708993222,206700
1880,56.0,9.756375482,207800
1890,56.0,9.808896326,208900
1900,56.0,9.860713554,210000
1910,56.0,9.910117437,211100
1920,56.0,9.959005618,212200
1930,58.0,10.014536363,213300
1940,56.0,10.07018614,214400
1950,56.0,10.120704603,215500
1960,57.0,10.171987533,216600
1970,57.0,10.220835029,217700
1980,56.0,10.27220512,218800
1990,57.0,10.32366027,219900
2000,56.0,10.371265733,221000
2010,57.0,10.420257559,222100
2020,57.0,10.470550704,223200
2030,56.0,10.523379287,224300
2040,56.0,10.570751582,225400
2050,56.0,10.618119051,226500
2060,56.0,10.665837582,227600
2070,56.0,10.715676247,228700
2080,56.0,10.771103317,229800
2090,55.0,10.822081218,230900
2100,55.0,10.870809569,232000
2110,56.0,10.920364003,233100
2120,55.0,10.971009232,234200
2130,56.0,11.020936397,235300
2140,56.0,11.069344391,236400
2150,56.0,11.118605165,237500
2160,56.0,11.170072181,238600
2170,56.0,11.221494611,239700
2180,57.0,11.271187114,240800
2190,56.0,11.320628451,241900
2200,56.0,11.371668496,243000
2210,56.0,11.425083648,244100
2220,57.0,11.477727204,245200
2230,56.0,11.527983432,246300
2240,56.0,11.575532228,247400
2250,57.0,11.623914185,248500
2260,56.0,11.672937072,249600
2270,57.0,11.722732298,250700
2280,56.0,11.774378187,251800
2290,57.0,11.821205376,252900
2300,57.0,11.874367866,254000
2310,56.0,11.933695852,255100
2320,57.0,11.986253009,256200
2330,56.0,12.035949564,257300
2340,59.0,12.083679903,258400
2350,57.0,12.136678216,259500
2360,56.0,12.183960255,260600
2370,56.0,12.23256812,261700
2380,56.0,12.279465255,262800
2390,56.0,12.328119069,263900
2400,56.0,12.378472775,265000
2410,56.0,12.426896952,266100
2420,57.0,12.476109719,267200
2430,56.0,12.523909043,268300
2440,56.0,12.57505793,269400
2450,57.0,12.623375364,270500
2460,56.0,12.671062738,271600
2470,56.0,12.720619284,272700
