iterations,fitness,time,fevals
0,541.0,0.013011139,588
10,534.0,0.024359145,1077
20,535.0,0.035659561,1544
30,536.0,0.048231519,2025
40,544.0,0.057750055,2498
50,536.0,0.077125316,2983
60,528.0,0.093877474,3450
70,529.0,0.101950984,3922
80,530.0,0.107256056,4402
90,521.0,0.111140935,4872
100,531.0,0.11388167,5367
110,535.0,0.120149703,5850
120,532.0,0.123050708,6330
130,536.0,0.125342277,6814
140,540.0,0.127569775,7293
150,544.0,0.130619968,7762
160,542.0,0.133374915,8240
170,542.0,0.135765634,8742
180,542.0,0.138215354,9228
190,544.0,0.140466762,9708
200,545.0,0.142485132,10190
210,550.0,0.144996169,10671
220,551.0,0.146993377,11156
230,548.0,0.149422129,11629
240,550.0,0.152185235,12109
250,550.0,0.154169784,12581
260,556.0,0.156198295,13074
270,552.0,0.158712025,13560
280,558.0,0.160964789,14047
290,556.0,0.163585965,14517
300,550.0,0.165882381,14995
310,553.0,0.167815304,15474
320,546.0,0.169973951,15955
330,548.0,0.171842227,16442
340,548.0,0.174001415,16930
350,550.0,0.175864088,17411
360,552.0,0.178859175,17891
370,552.0,0.181156777,18365
380,554.0,0.183374172,18846
390,552.0,0.199392604,19315
400,552.0,0.217012305,19795
410,554.0,0.232639938,20268
420,554.0,0.249284295,20752
430,554.0,0.266275847,21244
440,550.0,0.288261357,21726
450,550.0,0.300896456,22211
460,552.0,0.305436163,22691
470,556.0,0.308031386,23187
480,552.0,0.310387721,23662
490,560.0,0.312804158,24150
500,554.0,0.316739957,24621
510,558.0,0.31934329,25104
520,558.0,0.321847128,25588
530,556.0,0.327591875,26070
540,558.0,0.331283544,26555
550,559.0,0.333493987,27041
560,564.0,0.336470698,27529
570,560.0,0.339267713,28012
580,562.0,0.341673501,28478
590,563.0,0.345131107,28960
600,558.0,0.347916206,29436
610,560.0,0.349903141,29909
620,561.0,0.351975762,30385
630,563.0,0.354124816,30873
640,566.0,0.356249395,31349
650,566.0,0.359174491,31823
660,568.0,0.361604079,32311
670,570.0,0.364443714,32786
680,564.0,0.366532324,33264
690,568.0,0.371153577,33755
700,564.0,0.392657406,34223
710,564.0,0.414393904,34691
720,566.0,0.431174373,35163
730,564.0,0.445651718,35640
740,562.0,0.459756086,36121
750,562.0,0.477946238,36597
760,562.0,0.485318985,37077
770,564.0,0.48829797,37557
780,562.0,0.490631437,38042
790,566.0,0.494540518,38522
800,564.0,0.49771879,39007
810,564.0,0.500029478,39495
820,566.0,0.502510531,39982
830,564.0,0.504749997,40479
840,566.0,0.508294776,40953
850,566.0,0.510353439,41445
860,562.0,0.512460242,41923
870,562.0,0.515504697,42407
880,564.0,0.517882233,42888
890,564.0,0.520171793,43370
900,564.0,0.522891684,43855
910,564.0,0.525552152,44337
920,562.0,0.528033611,44815
930,564.0,0.530503334,45292
940,562.0,0.532870871,45773
950,564.0,0.535555061,46256
960,568.0,0.538126532,46736
970,566.0,0.540097373,47220
980,566.0,0.542225052,47712
990,564.0,0.544520284,48192
1000,568.0,0.546789507,48680
1010,568.0,0.559907111,49150
1020,570.0,0.580989774,49634
1030,566.0,0.605288429,50134
1040,566.0,0.625983415,50633
1050,568.0,0.654613135,51113
1060,570.0,0.660816449,51595
1070,570.0,0.664204056,52086
1080,566.0,0.666806603,52561
1090,564.0,0.669958741,53037
1100,568.0,0.673386706,53529
1110,568.0,0.678800829,54018
1120,562.0,0.681894506,54497
1130,568.0,0.684481272,54962
1140,566.0,0.686713218,55436
1150,566.0,0.689972165,55921
1160,560.0,0.692524558,56410
1170,562.0,0.694678776,56885
1180,566.0,0.69782805,57360
1190,566.0,0.700149969,57846
1200,568.0,0.703336218,58320
1210,564.0,0.706064852,58812
1220,568.0,0.708693737,59290
1230,566.0,0.711883008,59769
1240,566.0,0.714019438,60248
1250,564.0,0.716412762,60731
1260,564.0,0.719492929,61210
1270,567.0,0.721753047,61694
1280,569.0,0.723892322,62182
1290,565.0,0.726206014,62665
1300,564.0,0.72830712,63157
1310,567.0,0.730515885,63634
1320,573.0,0.73340094,64111
1330,571.0,0.743048561,64597
1340,571.0,0.755802531,65054
1350,573.0,0.768074127,65547
1360,571.0,0.787192564,66033
1370,569.0,0.805651598,66521
1380,573.0,0.818763561,67012
1390,571.0,0.833501365,67502
1400,565.0,0.844189827,67972
1410,571.0,0.85037746,68454
1420,573.0,0.852960014,68918
1430,569.0,0.856280419,69410
1440,575.0,0.860257943,69882
1450,569.0,0.862531359,70365
1460,571.0,0.864882575,70846
1470,573.0,0.868028356,71330
1480,575.0,0.871977462,71816
1490,571.0,0.875128142,72294
1500,573.0,0.877952055,72768
1510,575.0,0.88121638,73255
1520,575.0,0.883756205,73726
1530,573.0,0.886562458,74208
1540,575.0,0.888626721,74692
1550,581.0,0.891032192,75184
1560,581.0,0.893248441,75659
1570,577.0,0.895377419,76141
1580,585.0,0.897333604,76622
1590,583.0,0.8998925,77110
1600,585.0,0.902054986,77592
1610,575.0,0.903898481,78079
1620,575.0,0.905902061,78560
1630,581.0,0.909577687,79042
1640,577.0,0.911498301,79518
1650,577.0,0.913518899,79989
1660,577.0,0.916291309,80477
1670,581.0,0.918607381,80960
1680,581.0,0.925199042,81433
1690,585.0,0.942467584,81920
1700,583.0,0.956480525,82386
1710,581.0,0.968174931,82873
1720,581.0,0.979354943,83353
1730,579.0,0.993170604,83825
