iterations,fitness,time,fevals
0,561.0,10.298354273,1000
10,585.0,20.45190558,2100
20,593.0,30.356716613,3200
30,610.0,39.991259666,4300
40,629.0,49.481545782,5400
50,667.0,58.624589299,6500
60,670.0,67.511477617,7600
70,696.0,76.070242911,8700
80,718.0,84.352401139,9800
90,723.0,92.240731176,10900
100,726.0,100.225370969,12000
110,734.0,108.306019915,13100
120,754.0,116.135494452,14200
130,752.0,123.956495615,15300
140,760.0,131.61243317,16400
150,750.0,139.272140116,17500
160,752.0,147.040080784,18600
170,758.0,154.852139585,19700
180,772.0,162.69322339,20800
190,760.0,170.411906056,21900
200,772.0,177.99977544,23000
210,772.0,185.625148224,24100
220,764.0,193.304860974,25200
230,774.0,200.977546643,26300
240,774.0,208.714133541,27400
250,778.0,216.334839526,28500
260,770.0,223.94098401,29600
270,780.0,232.489276774,30700
280,773.0,239.949320081,31800
290,782.0,247.482478771,32900
300,798.0,255.030489691,34000
310,796.0,262.482239029,35100
320,790.0,269.928082574,36200
330,786.0,277.304258113,37300
340,788.0,284.787616632,38400
350,796.0,292.149375359,39500
360,778.0,299.65901389,40600
370,784.0,307.180852044,41700
380,796.0,314.637936649,42800
390,786.0,322.115437593,43900
400,766.0,329.689106463,45000
410,792.0,337.110651576,46100
420,776.0,344.694090383,47200
430,786.0,352.314435077,48300
440,786.0,359.879985069,49400
450,780.0,367.422519524,50500
460,786.0,374.928574517,51600
470,796.0,382.530201955,52700
480,786.0,390.054545348,53800
490,786.0,397.515969059,54900
500,790.0,405.133737646,56000
510,790.0,412.675290103,57100
520,780.0,420.129488769,58200
530,792.0,427.517078873,59300
540,789.0,435.238109219,60400
550,796.0,442.764491942,61500
560,798.0,450.184240989,62600
570,794.0,457.642135437,63700
580,794.0,466.269748757,64800
590,794.0,473.913057454,65900
600,796.0,481.488746345,67000
610,784.0,489.092067059,68100
620,790.0,496.403007679,69200
630,802.0,503.72261432,70300
640,790.0,511.273514423,71400
650,800.0,518.880826246,72500
660,786.0,526.488646449,73600
670,794.0,534.020503987,74700
680,796.0,541.579218609,75800
690,802.0,549.15035928,76900
700,798.0,556.79594669,78000
710,805.0,564.289599687,79100
720,810.0,571.785720116,80200
730,808.0,579.206062695,81300
740,802.0,586.549234475,82400
750,814.0,593.948843974,83500
760,808.0,601.41146804,84600
770,812.0,608.858324201,85700
780,814.0,616.511763206,86800
790,800.0,624.16937779,87900
800,800.0,631.551323418,89000
810,797.0,639.046523079,90100
820,816.0,646.599246173,91200
830,818.0,654.159322498,92300
840,810.0,661.64547277,93400
850,810.0,669.225370976,94500
860,826.0,676.710351763,95600
870,816.0,684.213728333,96700
880,810.0,691.642648094,97800
890,798.0,699.261082498,98900
900,806.0,706.892403856,100000
910,810.0,714.476395054,101100
920,802.0,721.861867026,102200
930,807.0,729.257859766,103300
940,800.0,736.700531522,104400
950,816.0,744.098765073,105500
960,794.0,751.612372945,106600
970,796.0,759.042062895,107700
980,816.0,766.560731764,108800
990,798.0,773.981497791,109900
1000,794.0,781.267809878,111000
1010,786.0,788.878526158,112100
1020,806.0,796.461846307,113200
1030,806.0,803.987247034,114300
1040,800.0,811.525307556,115400
1050,804.0,818.977746006,116500
1060,806.0,826.533052026,117600
1070,806.0,834.043514147,118700
1080,800.0,841.493093757,119800
1090,806.0,848.861889621,120900
1100,800.0,856.281243429,122000
1110,804.0,863.724628832,123100
1120,798.0,871.302980983,124200
1130,788.0,878.91715037,125300
1140,804.0,886.434678461,126400
1150,810.0,894.094861884,127500
1160,804.0,901.715049392,128600
1170,806.0,909.318000278,129700
1180,802.0,916.756352969,130800
1190,808.0,923.843730499,131900
1200,808.0,930.817870917,133000
1210,800.0,938.124645826,134100
1220,808.0,945.642840301,135200
1230,806.0,953.244740264,136300
1240,814.0,960.672776533,137400
1250,806.0,968.14491467,138500
1260,806.0,975.638476528,139600
1270,818.0,983.126643867,140700
1280,816.0,990.624289317,141800
1290,812.0,998.149278736,142900
1300,814.0,1005.74891575,144000
1310,802.0,1013.42329409,145100
1320,804.0,1020.96972006,146200
1330,808.0,1028.58617764,147300
1340,814.0,1036.07880775,148400
1350,810.0,1043.07300841,149500
1360,806.0,1050.17697056,150600
1370,814.0,1057.18899153,151700
1380,808.0,1064.75001116,152800
1390,814.0,1072.34104243,153900
1400,802.0,1080.00118657,155000
1410,812.0,1087.51865179,156100
1420,808.0,1095.04826677,157200
1430,808.0,1102.53832407,158300
1440,806.0,1110.02542595,159400
1450,814.0,1117.55301971,160500
1460,812.0,1125.02772876,161600
1470,820.0,1132.68248593,162700
1480,806.0,1140.15603967,163800
1490,814.0,1147.78658268,164900
1500,820.0,1155.31503919,166000
1510,810.0,1162.73700029,167100
1520,812.0,1170.22591043,168200
1530,822.0,1177.60060305,169300
1540,824.0,1185.03736655,170400
1550,812.0,1192.67467878,171500
1560,820.0,1200.15533399,172600
1570,810.0,1207.57307452,173700
1580,798.0,1214.94132743,174800
1590,806.0,1222.37255538,175900
1600,804.0,1229.90779692,177000
1610,804.0,1237.41130348,178100
1620,804.0,1244.87455866,179200
1630,812.0,1252.37050495,180300
1640,808.0,1259.94607692,181400
1650,824.0,1267.53445924,182500
1660,804.0,1275.08241137,183600
1670,814.0,1282.15500327,184700
1680,814.0,1289.19775648,185800
1690,814.0,1296.33107947,186900
1700,808.0,1303.70865473,188000
1710,812.0,1311.20059111,189100
1720,804.0,1318.81899386,190200
1730,802.0,1326.40608758,191300
1740,812.0,1333.96805699,192400
1750,804.0,1341.4855443,193500
1760,810.0,1349.03492419,194600
1770,814.0,1356.48529228,195700
1780,818.0,1363.97966282,196800
1790,816.0,1372.59825231,197900
1800,812.0,1380.22392322,199000
1810,816.0,1387.75348381,200100
1820,818.0,1395.35559594,201200
1830,822.0,1402.97162734,202300
1840,808.0,1410.52057464,203400
1850,832.0,1418.02903156,204500
1860,810.0,1425.70855717,205600
1870,812.0,1433.37329636,206700
1880,811.0,1441.04177961,207800
1890,816.0,1448.6645309,208900
1900,824.0,1456.38622832,210000
1910,806.0,1464.13871034,211100
1920,818.0,1471.87347432,212200
1930,816.0,1479.37788177,213300
1940,820.0,1486.93497755,214400
1950,826.0,1494.39569743,215500
1960,816.0,1501.8732757,216600
1970,818.0,1509.40525861,217700
1980,826.0,1516.9376132,218800
1990,820.0,1524.46209543,219900
2000,826.0,1532.16475709,221000
2010,818.0,1539.71642933,222100
2020,812.0,1547.21021752,223200
2030,822.0,1554.89347746,224300
2040,818.0,1562.51175534,225400
2050,816.0,1570.10228814,226500
2060,812.0,1577.58384438,227600
2070,808.0,1585.1078056,228700
2080,814.0,1592.62141037,229800
2090,804.0,1600.17313612,230900
2100,806.0,1607.70923183,232000
2110,820.0,1615.28387842,233100
2120,820.0,1622.85021044,234200
2130,824.0,1630.38228639,235300
2140,830.0,1637.84335528,236400
2150,818.0,1645.2731327,237500
2160,820.0,1652.85113576,238600
2170,818.0,1660.45074918,239700
2180,818.0,1668.38299006,240800
2190,816.0,1675.86575028,241900
2200,814.0,1683.41876229,243000
2210,814.0,1690.84353993,244100
2220,828.0,1698.26804272,245200
2230,810.0,1705.68355679,246300
2240,802.0,1713.18433714,247400
2250,816.0,1720.50275352,248500
2260,804.0,1728.00445058,249600
2270,808.0,1735.57911683,250700
2280,818.0,1743.14662277,251800
2290,804.0,1750.71052913,252900
2300,810.0,1758.26927837,254000
2310,810.0,1765.40816233,255100
2320,816.0,1772.54117602,256200
2330,814.0,1780.2142741,257300
2340,824.0,1787.76775833,258400
2350,838.0,1795.32167769,259500
2360,818.0,1802.83327819,260600
2370,820.0,1810.45271962,261700
2380,808.0,1818.14976301,262800
2390,806.0,1825.33599501,263900
2400,816.0,1832.37126069,265000
2410,818.0,1839.47264387,266100
2420,812.0,1846.98865513,267200
2430,818.0,1854.4884765,268300
2440,822.0,1862.1108148,269400
2450,820.0,1869.64553197,270500
2460,814.0,1876.91290751,271600
2470,824.0,1883.97583761,272700
2480,810.0,1891.00947587,273800
2490,806.0,1898.03083834,274900
2500,808.0,1905.58945983,276000
2510,810.0,1913.21786607,277100
2520,810.0,1920.7863302,278200
2530,818.0,1928.4111063,279300
2540,808.0,1935.96322029,280400
2550,826.0,1943.50908455,281500
2560,818.0,1952.09429167,282600
2570,816.0,1959.67472006,283700
2580,818.0,1967.27467271,284800
2590,812.0,1974.77580308,285900
2600,828.0,1982.4148666,287000
2610,800.0,1989.99335749,288100
2620,822.0,1997.46628153,289200
2630,824.0,2005.01487598,290300
2640,830.0,2012.59809848,291400
2650,822.0,2020.14563756,292500
2660,824.0,2027.74639832,293600
2670,804.0,2035.33536275,294700
2680,824.0,2042.70627261,295800
2690,812.0,2051.13120441,296900
2700,820.0,2058.89304351,298000
2710,834.0,2066.61695091,299100
2720,826.0,2074.10550404,300200
2730,822.0,2081.72172793,301300
2740,826.0,2089.15316514,302400
2750,816.0,2096.77426581,303500
2760,826.0,2104.49894215,304600
2770,824.0,2112.11643753,305700
2780,836.0,2119.59792207,306800
2790,824.0,2127.02811248,307900
2800,836.0,2134.55754674,309000
2810,820.0,2142.20303117,310100
2820,820.0,2149.84058345,311200
2830,821.0,2157.50198928,312300
2840,818.0,2165.22625561,313400
2850,802.0,2172.88320671,314500
2860,816.0,2180.50300277,315600
2870,820.0,2187.91424789,316700
2880,806.0,2195.27122284,317800
2890,820.0,2202.72819506,318900
2900,822.0,2210.17367576,320000
2910,828.0,2217.46849542,321100
2920,820.0,2224.6744847,322200
2930,814.0,2232.20659574,323300
2940,822.0,2239.66646089,324400
2950,830.0,2247.2679414,325500
2960,810.0,2254.85453941,326600
2970,824.0,2262.32673778,327700
2980,824.0,2269.79907217,328800
2990,816.0,2278.22616203,329900
3000,810.0,2285.85706292,331000
