iterations,fitness,time,fevals
0,496.0,3.9085e-05,11
10,498.0,7.34050000002e-05,21
20,500.0,0.000101711,31
30,500.0,0.000130584,41
40,504.0,0.00015579,51
50,508.0,0.000180752,61
60,508.0,0.000208759,71
70,512.0,0.000239135,81
80,514.0,0.000275711,91
90,514.0,0.000307403,101
100,516.0,0.000346295,111
110,518.0,0.000370998,121
120,518.0,0.000437551,131
130,522.0,0.000470934,141
140,526.0,0.000555807,151
150,528.0,0.00058161,161
160,528.0,0.000608311,171
170,530.0,0.000631038,181
180,532.0,0.000653348,191
190,534.0,0.00067528,201
200,534.0,0.000697391,211
210,536.0,0.000741099,221
220,536.0,0.00076534,231
230,540.0,0.000787709,241
240,540.0,0.000809566,251
250,540.0,0.000834493,261
260,544.0,0.000862453,271
270,544.0,0.000883754,281
280,548.0,0.00090745,291
290,550.0,0.000930702,301
300,554.0,0.000952884,311
310,554.0,0.000974897,321
320,560.0,0.001000665,331
330,564.0,0.001023095,341
340,564.0,0.001088376,351
350,564.0,0.001110457,361
360,566.0,0.001159242,371
370,566.0,0.001181951,381
380,568.0,0.001217692,391
390,572.0,0.001242085,401
400,578.0,0.001265757,411
410,582.0,0.001290137,421
420,584.0,0.001311483,431
430,590.0,0.001333026,441
440,592.0,0.001367228,451
450,596.0,0.001391525,461
460,596.0,0.001425163,471
470,598.0,0.0014469,481
480,600.0,0.001469546,491
490,600.0,0.001490166,501
500,602.0,0.001523092,511
510,604.0,0.001546994,521
520,606.0,0.001568513,531
530,608.0,0.001589874,541
540,608.0,0.001611952,551
550,608.0,0.001633195,561
560,608.0,0.001654943,571
570,608.0,0.001675847,581
580,608.0,0.001697046,591
590,610.0,0.001719186,601
600,612.0,0.001740427,611
610,614.0,0.001761039,621
620,614.0,0.00179447,631
630,614.0,0.00181842,641
640,614.0,0.001841757,651
650,616.0,0.001876078,661
660,616.0,0.001899479,671
670,616.0,0.001966431,681
680,616.0,0.001988501,691
690,616.0,0.002010717,701
700,620.0,0.002033749,711
710,624.0,0.002056033,721
720,624.0,0.002077734,731
730,626.0,0.002107197,741
740,626.0,0.002129144,751
750,626.0,0.002152162,761
760,626.0,0.002182017,771
770,628.0,0.002214283,781
780,628.0,0.002237527,791
790,628.0,0.002270484,801
800,628.0,0.002304242,811
810,630.0,0.002353622,821
820,630.0,0.002402368,831
830,630.0,0.00245884,841
840,634.0,0.002497203,851
850,634.0,0.002532448,861
860,634.0,0.002564127,871
870,636.0,0.00260175,881
880,638.0,0.002631869,891
890,638.0,0.00266937,901
900,642.0,0.002713409,911
910,644.0,0.002755901,921
920,644.0,0.002788537,931
930,644.0,0.002821041,941
940,644.0,0.002849053,951
950,646.0,0.002895323,961
960,646.0,0.002930972,971
970,646.0,0.002961232,981
980,646.0,0.002993472,991
990,648.0,0.003191559,1001
1000,650.0,0.003236636,1011
1010,650.0,0.003411632,1021
1020,650.0,0.003647034,1031
1030,652.0,0.003799816,1041
1040,654.0,0.003855843,1051
1050,654.0,0.004024651,1061
