iterations,fitness,time,fevals
0,524.0,0.00013499,11
10,516.0,0.000251496,21
20,518.0,0.000335424,31
30,520.0,0.000497194,41
40,520.0,0.00063792,51
50,522.0,0.000749755,61
60,524.0,0.000945558999999,71
70,528.0,0.001072177,81
80,530.0,0.001221035,91
90,530.0,0.00136729,101
100,530.0,0.001594734,111
110,532.0,0.00168334,121
120,536.0,0.001846873,131
130,536.0,0.002001968,141
140,536.0,0.002176616,151
150,538.0,0.002372545,161
160,540.0,0.00256014,171
170,540.0,0.00285333,181
180,540.0,0.003005156,191
190,540.0,0.003180009,201
200,540.0,0.003330788,211
210,544.0,0.003485939,221
220,546.0,0.003717157,231
230,550.0,0.004055703,241
240,552.0,0.004470503,251
250,554.0,0.004636166,261
260,554.0,0.00475319,271
270,556.0,0.004813538,281
280,560.0,0.005036562,291
290,562.0,0.005262884,301
300,566.0,0.005968658,311
310,566.0,0.006109795,321
320,570.0,0.006166631,331
330,570.0,0.00621814,341
340,572.0,0.006319467,351
350,572.0,0.006528886,361
360,572.0,0.006591505,371
370,572.0,0.006660091,381
380,574.0,0.006722964,391
390,576.0,0.006793273,401
400,582.0,0.006854041,411
410,584.0,0.006916739,421
420,584.0,0.007003164,431
430,584.0,0.007046498,441
440,584.0,0.007088675,451
450,586.0,0.008309702,461
460,586.0,0.008373738,471
470,590.0,0.008442093,481
480,592.0,0.008498343,491
490,592.0,0.008548792,501
500,594.0,0.008608197,511
510,594.0,0.008660364,521
520,598.0,0.008713651,531
530,602.0,0.008754185,541
540,602.0,0.008797818,551
550,602.0,0.008857851,561
560,606.0,0.009256573,571
570,608.0,0.009314189,581
580,610.0,0.009369625,591
590,610.0,0.00956021,601
600,614.0,0.009599442,611
610,616.0,0.009640281,621
620,618.0,0.009686412,631
630,618.0,0.009761717,641
640,618.0,0.009810785,651
650,618.0,0.009848267,661
660,618.0,0.009880285,671
670,622.0,0.009915142,681
680,624.0,0.009962596,691
690,624.0,0.010000769,701
700,628.0,0.010037105,711
710,628.0,0.010072057,721
720,628.0,0.010118036,731
730,628.0,0.010166872,741
740,630.0,0.010205067,751
750,630.0,0.010239435,761
760,630.0,0.010271474,771
770,632.0,0.01030347,781
780,636.0,0.010360728,791
790,638.0,0.010395529,801
800,640.0,0.010430017,811
810,640.0,0.010463168,821
820,640.0,0.010496493,831
830,642.0,0.010529409,841
840,644.0,0.010559238,851
850,644.0,0.010590251,861
860,644.0,0.010621125,871
870,644.0,0.010673619,881
880,644.0,0.010719012,891
890,644.0,0.010769737,901
900,644.0,0.010811695,911
910,644.0,0.010925258,921
920,646.0,0.010972088,931
930,650.0,0.011013724,941
940,654.0,0.011048887,951
950,654.0,0.011083701,961
960,658.0,0.011347047,971
970,658.0,0.011562586,981
980,662.0,0.011600399,991
990,662.0,0.011644967,1001
1000,662.0,0.011687161,1011
1010,662.0,0.01176165,1021
1020,664.0,0.011823764,1031
1030,664.0,0.011880877,1041
1040,664.0,0.011912777,1051
1050,664.0,0.011943976,1061
1060,666.0,0.011973807,1071
1070,666.0,0.012008891,1081
1080,666.0,0.012148889,1091
1090,666.0,0.012190528,1101
1100,666.0,0.012224298,1111
1110,666.0,0.012256432,1121
1120,668.0,0.012292505,1131
1130,668.0,0.012336875,1141
1140,668.0,0.012374046,1151
1150,670.0,0.012432838,1161
1160,672.0,0.012556568,1171
1170,672.0,0.012599399,1181
1180,672.0,0.012634601,1191
1190,672.0,0.01266705,1201
1200,674.0,0.012702447,1211
1210,676.0,0.012735826,1221
1220,678.0,0.012767932,1231
1230,678.0,0.012801458,1241
1240,678.0,0.012832922,1251
1250,678.0,0.012863724,1261
1260,680.0,0.012896607,1271
1270,680.0,0.012931348,1281
1280,682.0,0.01296241,1291
1290,682.0,0.012993183,1301
1300,682.0,0.013031715,1311
1310,684.0,0.013068866,1321
1320,684.0,0.013107267,1331
1330,688.0,0.013140807,1341
1340,688.0,0.013186886,1351
1350,688.0,0.013228444,1361
1360,690.0,0.013265472,1371
1370,690.0,0.013309743,1381
1380,690.0,0.013424532,1391
1390,690.0,0.013462166,1401
1400,690.0,0.013493826,1411
1410,690.0,0.013531719,1421
1420,692.0,0.01356959,1431
1430,692.0,0.013604924,1441
1440,694.0,0.013641245,1451
1450,696.0,0.013677574,1461
1460,696.0,0.013712704,1471
1470,696.0,0.013750306,1481
1480,700.0,0.013784543,1491
1490,702.0,0.013830114,1501
1500,702.0,0.013868069,1511
1510,702.0,0.013901577,1521
1520,706.0,0.013935384,1531
1530,706.0,0.013971784,1541
1540,706.0,0.014016996,1551
1550,706.0,0.014058017,1561
1560,706.0,0.014102406,1571
1570,706.0,0.014148814,1581
1580,706.0,0.014273076,1591
1590,706.0,0.014329193,1601
1600,708.0,0.014550299,1611
1610,710.0,0.014607624,1621
1620,712.0,0.014804724,1631
1630,714.0,0.015021835,1641
1640,718.0,0.015113386,1651
1650,718.0,0.0152843,1661
1660,720.0,0.015456,1671
1670,720.0,0.01560682,1681
1680,720.0,0.015800993,1691
1690,720.0,0.015942469,1701
1700,720.0,0.016038382,1711
1710,720.0,0.016170568,1721
1720,720.0,0.016328374,1731
1730,722.0,0.016524248,1741
1740,722.0,0.016741919,1751
1750,724.0,0.016904054,1761
1760,724.0,0.017027922,1771
1770,724.0,0.01714746,1781
1780,726.0,0.020069091,1791
1790,726.0,0.02030601,1801
1800,728.0,0.020455845,1811
1810,728.0,0.020592053,1821
1820,728.0,0.020729246,1831
1830,728.0,0.020833182,1841
1840,728.0,0.020920657,1851
1850,728.0,0.021129728,1861
1860,728.0,0.021301416,1871
1870,728.0,0.021461462,1881
1880,728.0,0.021595476,1891
1890,728.0,0.02175325,1901
1900,728.0,0.021848879,1911
1910,732.0,0.022063355,1921
1920,732.0,0.022268499,1931
1930,732.0,0.022389009,1941
1940,734.0,0.022722007,1951
1950,736.0,0.022854675,1961
1960,736.0,0.022998604,1971
1970,736.0,0.023139616,1981
1980,736.0,0.023344482,1991
1990,738.0,0.023572373,2001
2000,738.0,0.02377352,2011
2010,738.0,0.023923446,2021
2020,738.0,0.024076559,2031
2030,738.0,0.024216661,2041
2040,740.0,0.024374265,2051
2050,740.0,0.024557017,2061
2060,742.0,0.02470435,2071
2070,744.0,0.024873413,2081
2080,744.0,0.024983149,2091
2090,744.0,0.025168773,2101
2100,744.0,0.025374333,2111
2110,744.0,0.025530619,2121
2120,744.0,0.026966223,2131
2130,744.0,0.027151382,2141
2140,744.0,0.027375077,2151
2150,744.0,0.027532525,2161
2160,744.0,0.027684461,2171
2170,744.0,0.02781764,2181
2180,744.0,0.028061822,2191
2190,744.0,0.028260822,2201
2200,744.0,0.028428774,2211
2210,744.0,0.028487693,2221
2220,746.0,0.028556507,2231
2230,746.0,0.02861594,2241
2240,746.0,0.028670445,2251
2250,746.0,0.028725534,2261
2260,748.0,0.028771266,2271
2270,748.0,0.028836791,2281
2280,750.0,0.028899366,2291
2290,750.0,0.028954909,2301
2300,752.0,0.02900387,2311
2310,754.0,0.029070323,2321
2320,754.0,0.02912571,2331
2330,754.0,0.029230904,2341
2340,756.0,0.02927972,2351
2350,756.0,0.029330239,2361
2360,756.0,0.029380442,2371
2370,756.0,0.029439193,2381
2380,756.0,0.029503974,2391
2390,756.0,0.029555227,2401
2400,756.0,0.029622947,2411
2410,756.0,0.029679102,2421
2420,760.0,0.029727138,2431
2430,762.0,0.029776253,2441
2440,762.0,0.029820546,2451
2450,766.0,0.02987032,2461
2460,768.0,0.029926662,2471
2470,768.0,0.030008127,2481
2480,770.0,0.030050416,2491
2490,770.0,0.030091518,2501
2500,770.0,0.030154366,2511
2510,770.0,0.030190835,2521
2520,770.0,0.030226591,2531
2530,770.0,0.030279291,2541
2540,770.0,0.030323837,2551
2550,770.0,0.03038126,2561
2560,770.0,0.03043149,2571
2570,770.0,0.030632676,2581
2580,770.0,0.030685597,2591
2590,770.0,0.030723915,2601
2600,770.0,0.030772548,2611
2610,770.0,0.030817696,2621
2620,770.0,0.030853207,2631
2630,770.0,0.030902296,2641
2640,770.0,0.030941431,2651
2650,770.0,0.030995563,2661
2660,770.0,0.031039982,2671
2670,770.0,0.031089834,2681
2680,770.0,0.031135171,2691
2690,770.0,0.031178807,2701
2700,770.0,0.031226284,2711
2710,772.0,0.031266224,2721
2720,772.0,0.031308696,2731
2730,772.0,0.031534213,2741
2740,772.0,0.031598592,2751
2750,774.0,0.031800498,2761
2760,776.0,0.031982271,2771
2770,776.0,0.03216648,2781
2780,778.0,0.03236877,2791
2790,778.0,0.032522187,2801
2800,778.0,0.032666108,2811
2810,780.0,0.03280669,2821
2820,780.0,0.033014508,2831
2830,780.0,0.033111367,2841
2840,780.0,0.033322595,2851
2850,780.0,0.033401598,2861
2860,780.0,0.033548088,2871
2870,780.0,0.033875785,2881
2880,780.0,0.033997614,2891
2890,780.0,0.034141677,2901
2900,780.0,0.034605525,2911
2910,780.0,0.035815883,2921
2920,780.0,0.036013883,2931
2930,780.0,0.036166254,2941
2940,780.0,0.036311761,2951
2950,780.0,0.036675995,2961
2960,780.0,0.036839582,2971
2970,780.0,0.036921612,2981
2980,782.0,0.037091217,2991
2990,782.0,0.037241675,3001
3000,782.0,0.037368737,3011
